event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,user_properties.level
onb2_journey,1710957274182000,7a284a01-cde8-49ae-a8a8-41e4b5418c3f,7a284a01-cde8-49ae-a8a8-41e4b5418c3f_1710957272729,/,en,True,False,expert
onb2_journey,1710918029470000,269af40e-9fe5-44a7-b0b3-7045386ebc1c,269af40e-9fe5-44a7-b0b3-7045386ebc1c_1710918026766,/,en,True,False,well
onb2_journey,1710918035277000,269af40e-9fe5-44a7-b0b3-7045386ebc1c,269af40e-9fe5-44a7-b0b3-7045386ebc1c_1710918026766,/,en,True,False,well
